Profile URL,Query
https://sociology.yale.edu/people/jeffrey-alexander,Jeffrey Alexander Lillian Chavenson Saden Professor Emeritus of Sociology Yale Profile
https://medicine.yale.edu/profile/ja24/,Jonathan Alexander Assistant Clinical Professor of Medicine Yale Profile
https://yalemusic.yale.edu/people/kathryn-alexander,Kathryn Alexander Professor (Adjunct) in the Music Department Yale Profile
https://filmstudies.yale.edu/people/neta-alexander,Neta Alexander Assistant Professor Yale Profile
https://slavic.yale.edu/people/vladimir-alexandrov,Vladimir Alexandrov B. E. Bensinger Professor Emeritus of Slavic Languages and Literatures Yale Profile
https://medicine.yale.edu/profile/dralexiades/,Macrene Alexiades-Armenakas Associate Clinical Professor of Dermatology Yale Profile
https://physics.yale.edu/people/yoram-alhassid,Yoram Alhassid Frederick Phineas Rose Professor of Physics Yale Profile
https://medicine.yale.edu/profile/rahmat-ali/,Rahmat Ali Assistant Professor of Radiology and Biomedical Imaging Yale Profile
https://medicine.yale.edu/neurology/profile/saa67/,Sameer Ali Assistant Clinical Professor of Neurology Yale Profile
https://medicine.yale.edu/profile/syed-saqib-ali/,Syed Ali Assistant Professor Adjunct Yale Profile
https://medicine.yale.edu/profile/tariq-ali/,Tariq Ali Assistant Professor of Medicine (Cardiovascular Medicine) Yale Profile
https://medicine.yale.edu/profile/aymen-alian/,Aymen Alian Associate Professor of Anesthesiology Yale Profile
https://medicine.yale.edu/profile/abedalrazaq-alkukhun/,Abedalrazaq Alkukhun Assistant Professor of Radiology and Biomedical Imaging Yale Profile
https://medicine.yale.edu/profile/adrienne-allen/,Adrienne Allen Assistant Professor of Psychiatry Yale Profile
https://medicine.yale.edu/profile/christina-allen/,Christina Allen Professor of Orthopaedics & Rehabilitation Yale Profile
https://medicine.yale.edu/childstudy/profile/haa2/,Henry Allen Assistant Clinical Professor in the Child Study Center Yale Profile
https://history.yale.edu/people/jennifer-allen,Jennifer Allen Associate Professor of History Yale Profile
https://medicine.yale.edu/profile/heather-allore/,Heather Allore Professor of Medicine (Geriatrics) and of Biostatistics Yale Profile
https://medicine.yale.edu/profile/aza-allsop/,AZA Allsop Assistant Professor Yale Profile
https://medicine.yale.edu/profile/joel-allison/,Joel Allison Associate Clinical Professor of Psychiatry Yale Profile
https://medicine.yale.edu/profile/truett-allison/,Truett Allison Professor Emeritus of Neurology Yale Profile
https://medicine.yale.edu/profile/rene-almeling/,"Rene Almeling Professor of Sociology, History of Medicine, American Studies, and Public Health (Health Policy) Yale Profile"
https://medicine.yale.edu/profile/assaf-alon/,Assaf Alon Assistant Professor of Pharmacology Yale Profile
https://medicine.yale.edu/profile/arik-alper/,Arik Alper Associate Professor of Pediatrics (GI) Yale Profile
https://medicine.yale.edu/profile/robert-alpern/,Robert Alpern Ensign Professor of Medicine (Nephrology) and Professor of Cellular and Molecular Physiology Yale Profile
https://medicine.yale.edu/profile/michael-alperovich/,Michael Alperovich Associate Professor of Surgery (Plastic) Yale Profile
https://medicine.yale.edu/profile/meenakshi-alreja/,Meenakshi Alreja Associate Professor of Psychiatry and of Neuroscience Yale Profile
https://medicine.yale.edu/profile/saa42/,Shawnette Alston Assistant Clinical Professor of Medicine Yale Profile
https://law.yale.edu/anne-l-alstott,Anne Alstott Jacquin D. Bierman Professor of Law Yale Profile
https://medicine.yale.edu/profile/jna2/,Jeffrey Alter Assistant Clinical Professor of Dermatology Yale Profile
https://medicine.yale.edu/profile/elissa-altin/,Elissa Altin Associate Professor of Medicine (Cardiovascular Medicine) Yale Profile
https://ysph.yale.edu/profile/frederick-altice/,Frederick Altice Professor of Medicine (Infectious Diseases) and of Epidemiology (Microbial Diseases) Yale Profile
https://seas.yale.edu/faculty-research/faculty-directory/eric-altman,Eric Altman Roberto C. Goizueta Professor of Chemical Engineering Yale Profile
https://medicine.yale.edu/neurology/profile/hamada-hamid/,Hamada Altalib Professor of Neurology Yale Profile
https://medicine.yale.edu/profile/margaret-altemus/,Margaret Altemus Associate Professor of Psychiatry Yale Profile
https://economics.yale.edu/people/joseph-altonji,Joseph Altonji Thomas DeWitt Cuyler Professor of Economics and Professor in the Institute for Social and Policy Studies Yale Profile
https://medicine.yale.edu/profile/victor-altshul/,Victor Altshul Associate Clinical Professor of Psychiatry Yale Profile
https://medicine.yale.edu/profile/gary-altwerger/,Gary Altwerger Assistant Professor of Obstetrics and Gynecology Yale Profile
https://law.yale.edu/akhil-reed-amar,Akhil Reed Amar Sterling Professor of Law and Professor of Political Science Yale Profile
